iter	Passed	Remaining
426	1717	2304
427	1719	2297
428	1721	2290
429	1725	2286
430	1734	2289
431	1744	2293
432	1745	2285
433	1747	2278
434	1754	2278
435	1761	2278
436	1767	2277
437	1769	2270
438	1773	2266
439	1774	2259
440	1776	2251
441	1777	2244
442	1779	2237
443	1791	2243
444	1797	2242
445	1799	2235
446	1801	2228
447	1802	2220
448	1803	2213
449	1804	2206
450	1806	2198
451	1807	2191
452	1808	2184
453	1812	2180
454	1814	2173
455	1816	2166
456	1823	2167
457	1825	2160
458	1827	2153
459	1829	2147
460	1832	2143
461	1834	2135
462	1848	2144
463	1850	2137
464	1852	2130
465	1853	2124
466	1855	2117
467	1856	2110
468	1860	2106
469	1862	2099
470	1863	2093
471	1865	2086
472	1866	2079
473	1867	2072
474	1869	2065
475	1870	2059
476	1874	2055
477	1876	2048
478	1879	2044
479	1881	2038
480	1883	2031
481	1884	2025
482	1885	2018
483	1887	2012
484	1892	2010
485	1894	2003
486	1896	1997
487	1898	1991
488	1899	1985
489	1901	1979
490	1902	1972
491	1906	1968
492	1908	1962
493	1909	1955
494	1916	1955
495	1918	1949
496	1919	1943
497	1921	1937
498	1923	1930
499	1924	1924
500	1925	1917
501	1926	1911
502	1928	1905
503	1936	1906
504	1942	1903
505	1943	1897
506	1945	1891
507	1946	1885
508	1948	1879
509	1949	1873
510	1953	1869
511	1954	1863
512	1958	1858
513	1959	1852
514	1960	1846
515	1962	1840
516	1966	1837
517	1968	1831
518	1970	1825
519	1971	1820
520	1973	1814
521	1977	1810
522	1978	1804
523	1980	1798
524	1981	1793
525	1983	1787
526	1986	1783
527	1988	1777
528	1989	1771
529	1990	1765
530	1992	1759
531	1998	1757
532	1999	1752
533	2000	1746
534	2002	1740
535	2003	1734
536	2005	1728
537	2027	1741
538	2031	1737
539	2033	1731
540	2042	1732
541	2045	1728
542	2047	1723
543	2049	1717
544	2051	1712
545	2052	1706
546	2053	1700
547	2065	1703
548	2066	1697
549	2072	1695
550	2076	1691
551	2077	1686
552	2079	1680
553	2080	1675
554	2098	1682
555	2100	1677
556	2101	1671
557	2103	1665
558	2104	1660
559	2106	1654
560	2107	1649
561	2112	1646
562	2114	1641
563	2115	1635
564	2117	1630
565	2118	1624
566	2120	1619
567	2124	1615
568	2130	1614
569	2138	1613
570	2140	1608
571	2141	1602
572	2143	1597
573	2144	1591
574	2148	1588
575	2167	1595
576	2168	1590
577	2170	1584
578	2178	1584
579	2179	1578
580	2181	1573
581	2187	1571
582	2190	1566
583	2191	1561
584	2201	1562
585	2203	1556
586	2210	1554
587	2214	1551
588	2215	1546
589	2236	1554
590	2238	1549
591	2240	1543
592	2241	1538
593	2243	1533
594	2244	1527
595	2245	1522
596	2247	1517
597	2248	1511
598	2250	1506
599	2254	1503
600	2256	1497
601	2257	1492
602	2259	1487
603	2260	1482
604	2264	1478
605	2268	1474
606	2277	1474
607	2280	1470
608	2282	1465
609	2283	1459
610	2284	1454
611	2302	1459
612	2304	1454
613	2305	1449
614	2307	1444
615	2308	1439
616	2310	1434
617	2311	1428
618	2320	1428
619	2324	1424
620	2326	1419
621	2333	1418
622	2335	1413
623	2337	1408
624	2342	1405
625	2348	1403
626	2350	1398
627	2355	1395
628	2358	1391
629	2362	1387
630	2364	1382
631	2366	1377
632	2368	1373
633	2369	1368
634	2371	1363
635	2373	1358
636	2375	1353
637	2376	1348
638	2380	1344
639	2381	1339
640	2383	1334
641	2385	1330
642	2392	1328
643	2406	1330
644	2407	1325
645	2415	1323
646	2416	1318
647	2418	1313
648	2420	1308
649	2425	1305
650	2426	1301
651	2428	1296
652	2437	1295
653	2440	1290
654	2448	1289
655	2450	1285
656	2451	1280
657	2453	1275
658	2455	1270
659	2456	1265
660	2457	1260
661	2462	1257
662	2463	1252
663	2465	1247
664	2472	1245
665	2473	1240
666	2474	1235
667	2478	1231
668	2479	1226
669	2484	1223
670	2486	1219
671	2487	1214
672	2495	1212
673	2497	1207
674	2502	1204
675	2503	1199
676	2505	1195
677	2506	1190
678	2512	1187
679	2514	1183
680	2516	1178
681	2537	1183
682	2538	1178
683	2540	1173
684	2541	1168
685	2542	1163
686	2544	1159
687	2545	1154
688	2547	1149
689	2548	1145
690	2555	1142
691	2556	1138
692	2560	1134
693	2562	1129
694	2564	1125
695	2565	1120
696	2567	1115
697	2568	1111
698	2569	1106
699	2570	1101
700	2571	1096
701	2572	1092
702	2574	1087
703	2575	1082
704	2577	1078
705	2578	1073
706	2585	1071
707	2604	1074
708	2605	1069
709	2607	1064
710	2608	1060
711	2610	1055
712	2612	1051
713	2635	1055
714	2636	1051
715	2651	1051
716	2653	1047
717	2654	1042
718	2655	1038
719	2657	1033
720	2658	1028
721	2660	1024
722	2661	1019
723	2662	1015
724	2687	1019
725	2688	1014
726	2689	1010
727	2691	1005
728	2692	1000
729	2694	996
730	2695	991
731	2699	988
732	2701	983
733	2702	979
734	2704	974
735	2705	970
736	2706	965
737	2711	962
738	2712	958
739	2716	954
740	2720	950
741	2721	946
742	2722	941
743	2724	937
744	2725	932
745	2727	928
746	2731	925
747	2733	920
748	2734	916
749	2738	912
750	2742	909
751	2744	904
752	2745	900
753	2746	896
754	2750	892
755	2751	888
756	2755	884
757	2757	880
758	2759	876
759	2763	872
760	2765	868
761	2768	864
762	2772	861
763	2774	856
764	2775	852
765	2777	848
766	2799	850
767	2800	846
768	2808	843
769	2812	840
770	2830	840
771	2831	836
772	2833	832
773	2849	831
774	2850	827
775	2851	823
776	2852	818
777	2854	814
778	2860	811
779	2864	807
780	2865	803
781	2867	799
782	2868	795
783	2872	791
784	2879	788
785	2880	784
786	2882	780
787	2883	775
788	2893	773
789	2897	770
790	2898	765
791	2900	761
792	2908	759
793	2909	754
794	2911	750
795	2915	747
796	2922	744
797	2923	740
798	2924	735
799	2926	731
800	2932	728
801	2934	724
802	2935	720
803	2937	716
804	2941	712
805	2945	709
806	2950	705
807	2954	701
808	2955	697
809	2964	695
810	2973	693
811	2975	688
812	2979	685
813	2982	681
814	2991	679
815	2992	674
816	2994	670
817	2995	666
818	2997	662
819	3000	658
820	3014	657
821	3016	653
822	3031	652
823	3033	647
824	3044	645
825	3046	641
826	3052	638
827	3058	635
828	3060	631
829	3063	627
830	3065	623
831	3066	619
832	3067	615
833	3069	610
834	3070	606
835	3072	602
836	3073	598
837	3090	597
838	3096	594
839	3100	590
840	3102	586
841	3106	582
842	3108	578
843	3110	574
844	3111	570
845	3113	566
846	3117	563
847	3119	559
848	3120	554
849	3121	550
850	3123	546
851	3124	542
852	3128	539
853	3130	535
854	3131	531
855	3132	526
856	3154	526
857	3155	522
858	3160	518
859	3161	514
860	3163	510
861	3164	506
862	3174	503
863	3179	500
864	3180	496
865	3185	492
866	3189	489
867	3194	485
868	3196	481
869	3197	477
870	3208	475
871	3209	471
872	3211	467
873	3212	463
874	3214	459
875	3215	455
876	3217	451
877	3219	447
878	3222	443
879	3223	439
880	3225	435
881	3229	432
882	3236	428
883	3237	424
884	3239	420
885	3243	417
886	3244	413
887	3245	409
888	3247	405
889	3252	401
890	3261	399
891	3262	395
892	3264	391
893	3266	387
894	3270	383
895	3271	379
896	3275	376
897	3276	372
898	3277	368
899	3279	364
900	3283	360
901	3288	357
902	3289	353
903	3290	349
904	3303	346
905	3305	342
906	3306	339
907	3324	336
908	3325	332
909	3332	329
910	3333	325
911	3334	321
912	3342	318
913	3343	314
914	3345	310
915	3346	306
916	3348	303
917	3349	299
918	3351	295
919	3353	291
920	3355	287
921	3356	283
922	3361	280
923	3362	276
924	3364	272
925	3366	269
926	3370	265
927	3371	261
928	3372	257
929	3374	253
930	3375	250
931	3396	247
932	3412	245
933	3414	241
934	3415	237
935	3416	233
936	3417	229
937	3419	225
938	3423	222
939	3425	218
940	3427	214
941	3433	211
942	3435	207
943	3437	203
944	3438	200
945	3440	196
946	3442	192
947	3447	189
948	3448	185
949	3449	181
950	3450	177
951	3452	174
952	3453	170
953	3454	166
954	3456	162
955	3458	159
956	3460	155
957	3464	151
958	3468	148
959	3469	144
960	3484	141
961	3486	137
962	3487	133
963	3488	130
964	3490	126
965	3492	122
966	3493	119
967	3494	115
968	3509	112
969	3510	108
970	3512	104
971	3514	101
972	3515	97
973	3517	93
974	3518	90
975	3531	86
976	3535	83
977	3536	79
978	3538	75
979	3540	72
980	3541	68
981	3542	64
982	3543	61
983	3548	57
984	3551	54
985	3571	50
986	3573	47
987	3574	43
988	3575	39
989	3577	36
990	3584	32
991	3588	28
992	3593	25
993	3595	21
994	3597	18
995	3605	14
996	3606	10
997	3613	7
998	3614	3
999	3615	0
